Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural
15.0,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban
8.0,Female,1.67,Smartphone,False,0.45,None,Rural
15.0,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",
15.0,Male,5.91,,True,0.44,"Poor Sleep, Eye Strain",Urban
18.0,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural
10.0,Female,0.0,Tablet,False,0.4,None,Urban
8.0,Male,3.39,,True,0.43,None,Rural
15.0,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural
,Female,1.36,Smartphone,False,,None,
10.0,Male,0.0,Smartphone,False,0.45,None,Rural
8.0,Male,2.75,TV,True,0.53,None,Rural
18.0,Female,6.4,Smartphone,,0.32,None,Urban
12.0,Female,3.77,Laptop,True,,Poor Sleep,Rural
17.0,Female,4.73,,True,0.47,Poor Sleep,Urban
14.0,,,Tablet,True,0.4,Poor Sleep,Urban
17.0,,2.78,Smartphone,False,0.34,None,Urban
16.0,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural
14.0,Male,4.61,TV,True,0.31,Obesity Risk,Urban
16.0,Male,5.67,TV,True,0.49,Poor Sleep,
15.0,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban
9.0,Female,0.45,Smartphone,False,0.46,None,Rural
8.0,Male,2.52,Smartphone,True,0.58,None,Urban
14.0,Male,6.04,Smartphone,True,0.39,None,Urban
14.0,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural
15.0,Male,,Smartphone,True,0.39,,Urban
12.0,Male,2.34,Smartphone,False,0.37,None,Urban
10.0,Male,6.86,,,0.56,Poor Sleep,Urban
,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural
13.0,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban
18.0,Male,3.25,Tablet,True,,"Poor Sleep, Eye Strain",Rural
,,,Smartphone,True,0.46,None,Rural
8.0,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10.0,Female,,TV,True,0.6,None,Urban
,Male,6.06,,True,0.43,Eye Strain,
10.0,Female,1.86,Smartphone,False,0.46,None,Rural
8.0,Female,6.48,Smartphone,True,0.48,None,Rural
12.0,Male,,Laptop,True,0.46,Eye Strain,Rural
17.0,Male,4.16,Laptop,True,0.31,Poor Sleep,
14.0,Female,3.91,Laptop,,,Eye Strain,Urban
,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban
18.0,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural
16.0,Female,2.42,Smartphone,,0.45,None,Urban
17.0,Male,6.78,Smartphone,True,0.49,,Urban
17.0,,4.19,TV,True,,Obesity Risk,Rural
10.0,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural
14.0,Male,6.01,,,0.34,"Poor Sleep, Eye Strain",Urban
,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban
11.0,Female,3.42,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11.0,Female,5.47,Smartphone,True,0.41,,Urban
12.0,Female,6.28,Smartphone,True,0.32,Poor Sleep,Rural
14.0,,3.26,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban
14.0,,6.06,Smartphone,True,0.38,Anxiety,Urban
18.0,Female,4.67,TV,True,0.32,Poor Sleep,Urban
11.0,Male,3.75,Smartphone,True,0.43,None,
14.0,Female,6.7,Smartphone,True,0.3,,Urban
18.0,Female,3.58,Smartphone,True,0.38,None,Urban
10.0,Female,2.51,TV,True,0.47,None,Rural
13.0,,5.24,Smartphone,True,0.43,Poor Sleep,Urban
9.0,Female,0.0,Tablet,False,0.49,None,Rural
17.0,Female,5.14,Smartphone,True,0.36,Poor Sleep,Urban
16.0,Female,3.7,Tablet,True,0.33,Eye Strain,Urban
12.0,Male,4.79,,True,,Poor Sleep,Urban
13.0,Male,3.3,Tablet,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural
11.0,Female,,Smartphone,,0.5,Poor Sleep,Urban
18.0,Female,3.05,Smartphone,True,,"Eye Strain, Anxiety, Obesity Risk",Urban
17.0,Female,,Smartphone,True,0.42,Eye Strain,Urban
14.0,Female,3.66,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban
16.0,Male,4.08,Smartphone,True,0.47,None,Urban
,Female,4.41,TV,True,0.32,None,Urban
8.0,Female,,Smartphone,True,0.54,Poor Sleep,Urban
8.0,Female,,Smartphone,True,0.52,None,Rural
16.0,Female,4.6,Smartphone,True,,,Urban
18.0,Female,4.06,Smartphone,True,0.44,Poor Sleep,Urban
,Female,6.5,TV,,0.49,None,Urban
11.0,Female,4.21,TV,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural
16.0,Female,7.07,Laptop,True,0.36,Poor Sleep,Urban
10.0,Male,2.48,Smartphone,True,0.51,,Rural
14.0,Female,4.06,Smartphone,True,0.42,Poor Sleep,Urban
13.0,Male,3.9,Smartphone,,0.36,None,Urban
15.0,Female,2.38,,,,None,Urban
,Female,6.59,,True,0.39,Poor Sleep,
16.0,Male,5.6,Laptop,True,0.4,Poor Sleep,Rural
12.0,Male,5.32,Laptop,True,0.31,Poor Sleep,Urban
8.0,Male,4.82,TV,True,0.51,,Rural
10.0,Male,3.69,TV,True,0.56,Poor Sleep,Urban
17.0,Male,4.17,TV,True,0.39,Poor Sleep,Urban
15.0,Male,4.09,TV,True,0.35,"Poor Sleep, Anxiety",Urban
18.0,Male,5.83,Smartphone,True,0.39,Anxiety,Rural
13.0,Female,4.74,Laptop,True,0.44,Poor Sleep,Rural
15.0,Female,4.01,TV,True,0.39,"Poor Sleep, Eye Strain",Urban
16.0,Female,2.59,Laptop,False,0.44,None,Urban
,Female,4.94,Smartphone,True,0.45,Poor Sleep,Urban
8.0,Male,4.15,TV,True,0.59,Eye Strain,Rural
8.0,Male,0.3,TV,,,None,Urban
,Female,,Tablet,True,0.37,Obesity Risk,Rural
11.0,Male,5.12,Laptop,True,0.48,None,Urban
14.0,Male,3.2,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban
9.0,Male,5.72,Smartphone,,,Eye Strain,Urban
10.0,Male,6.8,TV,True,0.43,None,Rural
8.0,Female,4.73,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban
12.0,Male,1.51,Smartphone,False,0.5,None,Urban
,Female,,Tablet,True,0.5,Poor Sleep,Urban
15.0,Female,5.08,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban
8.0,Female,1.13,,False,0.41,None,Urban
18.0,Male,5.12,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural
8.0,,6.34,TV,True,0.51,Poor Sleep,Urban
9.0,Female,5.05,Smartphone,True,0.58,,
9.0,Female,0.73,Smartphone,False,0.58,None,Urban
13.0,,5.49,Smartphone,True,0.45,Poor Sleep,Urban
14.0,Female,4.51,Laptop,True,,Poor Sleep,Urban
12.0,Male,2.9,Smartphone,False,,None,Urban
8.0,Male,6.29,Tablet,True,0.49,,Urban
8.0,Male,2.1,Smartphone,True,0.5,,Urban
10.0,Female,4.53,TV,True,0.47,Poor Sleep,Urban
9.0,Female,2.44,Tablet,True,0.48,None,Rural
12.0,Female,2.14,Smartphone,False,,None,Urban
17.0,Female,2.72,Smartphone,False,0.33,None,Urban
13.0,,4.49,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban
14.0,Female,3.15,Tablet,True,0.38,,Urban
11.0,,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Rural
14.0,Female,,Tablet,True,,Poor Sleep,Urban
18.0,Female,6.53,TV,True,0.43,Poor Sleep,Urban
15.0,,4.54,Laptop,True,0.46,"Poor Sleep, Eye Strain",Urban
18.0,Female,3.87,Laptop,True,0.36,,Urban
,,0.1,Tablet,False,0.5,None,Rural
13.0,Male,4.44,,True,0.39,Poor Sleep,Urban
15.0,Male,4.75,Smartphone,,0.44,None,Rural
,Female,3.65,Tablet,True,0.4,Eye Strain,Urban
11.0,,,Laptop,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",
,Male,,TV,True,0.51,None,Urban
13.0,Male,3.65,Laptop,True,0.37,"Poor Sleep, Eye Strain",Rural
13.0,Female,5.78,TV,True,0.43,"Poor Sleep, Obesity Risk",Rural
18.0,Male,2.96,TV,False,0.43,None,Urban
8.0,Female,0.91,Smartphone,False,0.43,None,Urban
16.0,Male,4.17,Smartphone,True,,"Poor Sleep, Eye Strain",Urban
18.0,Male,3.98,Laptop,True,0.37,Poor Sleep,Urban
13.0,Male,2.94,Smartphone,False,0.43,None,Urban
10.0,Female,6.63,TV,True,,"Poor Sleep, Eye Strain",Urban
11.0,Male,,TV,False,0.36,None,Urban
18.0,Female,5.84,Smartphone,True,,Eye Strain,Urban
11.0,Male,4.78,Smartphone,True,0.39,,Rural
10.0,Male,4.13,Smartphone,True,0.4,Poor Sleep,Urban
17.0,Male,,Smartphone,True,0.34,Poor Sleep,Urban
10.0,Male,3.02,,True,0.46,"Poor Sleep, Obesity Risk",Rural
10.0,Female,1.92,TV,False,,None,Urban
11.0,Female,4.16,Laptop,True,0.36,"Anxiety, Obesity Risk",Urban
,,3.9,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11.0,Female,6.12,TV,True,0.34,None,Urban
16.0,Male,6.23,Smartphone,True,0.47,,Rural
8.0,Male,2.87,Smartphone,True,0.52,None,Urban
15.0,Male,4.88,Smartphone,True,0.34,"Poor Sleep, Obesity Risk",Urban
14.0,Female,2.61,Smartphone,False,0.38,None,
,Female,1.19,Tablet,False,0.45,None,Urban
15.0,,2.54,Laptop,False,0.3,None,Urban
8.0,Male,,Tablet,True,0.56,Poor Sleep,Urban
18.0,Male,4.18,TV,True,0.31,None,Urban
16.0,Male,4.47,TV,,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban
,Female,,TV,True,0.38,Anxiety,Rural
9.0,Female,1.64,Smartphone,False,0.49,None,
14.0,Female,4.13,,True,,,Rural
17.0,Male,1.97,,False,0.44,None,Rural
10.0,Female,0.21,Smartphone,False,0.5,None,Urban
14.0,Female,3.27,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban
17.0,Female,4.62,Smartphone,,0.38,None,Urban
16.0,,4.14,Smartphone,True,0.41,"Poor Sleep, Eye Strain",
11.0,Female,3.82,Laptop,True,0.5,"Eye Strain, Anxiety",Urban
8.0,Female,4.69,Smartphone,True,0.59,Poor Sleep,Urban
9.0,Male,3.59,Smartphone,True,0.44,None,
8.0,,3.28,Tablet,True,0.46,Anxiety,Rural
12.0,,,,True,0.44,,Urban
12.0,Male,6.34,Laptop,True,0.43,,Rural
18.0,Female,5.16,,,0.47,Poor Sleep,Urban
14.0,Male,2.89,Laptop,False,0.4,None,Rural
16.0,Female,3.73,Laptop,True,0.34,"Poor Sleep, Eye Strain, Anxiety",Rural
16.0,Male,5.77,Laptop,True,0.41,"Eye Strain, Anxiety",Urban
10.0,Male,3.57,Smartphone,,0.52,None,Rural
10.0,Female,6.58,TV,True,0.52,Poor Sleep,Rural
10.0,Male,3.2,,True,0.55,"Poor Sleep, Eye Strain",Urban
11.0,Male,2.08,TV,False,0.31,None,Rural
15.0,,4.26,Smartphone,True,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban
13.0,Male,8.24,TV,,,Poor Sleep,Urban
15.0,Male,3.85,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban
,Female,1.63,Smartphone,False,0.59,None,Urban
15.0,Male,2.2,Smartphone,,0.44,None,Rural
,Female,,Tablet,,0.35,,Urban
18.0,Male,5.02,Smartphone,,0.49,None,Urban
8.0,Female,4.92,,True,0.59,"Poor Sleep, Anxiety",Urban
,Female,4.32,Smartphone,True,0.33,Poor Sleep,Urban
11.0,,3.71,,True,0.4,Poor Sleep,Urban
13.0,Male,4.29,,,0.3,None,Urban
,Female,6.56,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban
11.0,Male,0.95,Smartphone,False,0.36,None,Urban
10.0,Female,2.0,Smartphone,False,0.58,None,Urban
16.0,Female,3.12,Smartphone,True,0.44,Eye Strain,Urban
10.0,Female,1.65,,False,0.56,None,Urban
16.0,Male,3.96,Smartphone,True,0.37,Poor Sleep,Urban
9.0,Female,1.68,TV,False,0.6,,Rural
9.0,Female,4.05,TV,True,0.48,None,
9.0,Male,,,,0.53,Poor Sleep,
13.0,Male,,Laptop,True,0.45,,Urban
10.0,Male,0.0,TV,False,0.47,None,Rural
16.0,Male,,Smartphone,True,0.34,None,Rural
,Female,2.02,Tablet,False,0.39,None,
8.0,Female,1.67,TV,False,0.56,None,Urban
,Female,5.3,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban
8.0,Female,,Smartphone,,,Anxiety,Rural
12.0,,3.97,,True,0.36,Poor Sleep,Rural
11.0,Male,,Laptop,True,0.34,None,Urban
,Male,,Laptop,True,0.43,Eye Strain,Rural
15.0,Female,5.48,Smartphone,True,0.42,"Eye Strain, Anxiety",Urban
14.0,Female,3.23,Smartphone,True,,None,Urban
10.0,Male,5.99,TV,True,0.4,"Poor Sleep, Eye Strain",Urban
8.0,Male,1.25,Tablet,False,0.4,None,Urban
8.0,Male,,Smartphone,False,0.44,,Urban
18.0,Male,3.91,Laptop,True,0.43,"Poor Sleep, Eye Strain",Rural
,Female,8.74,Tablet,True,0.56,Poor Sleep,Urban
13.0,Female,7.85,TV,True,0.43,"Poor Sleep, Eye Strain",Rural
14.0,Female,5.76,Smartphone,,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban
13.0,Female,3.37,,True,0.46,Anxiety,Rural
13.0,Female,4.11,Laptop,True,0.37,Poor Sleep,Urban
13.0,Male,4.06,Smartphone,True,0.44,Poor Sleep,Urban
10.0,Male,2.29,Smartphone,,,,Urban
,Female,1.9,TV,,0.43,,Urban
15.0,Male,3.83,Smartphone,True,0.42,Poor Sleep,Urban
18.0,Male,4.13,Smartphone,True,0.33,Poor Sleep,Rural
18.0,Female,,Smartphone,True,0.41,Eye Strain,Rural
9.0,,0.0,Tablet,False,0.44,None,Urban
12.0,Male,3.54,TV,True,0.34,"Poor Sleep, Eye Strain",Urban
8.0,Female,2.4,TV,True,0.44,None,Urban
8.0,Male,5.51,Smartphone,,0.6,"Poor Sleep, Obesity Risk",Rural
12.0,Male,4.68,Tablet,True,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10.0,Male,4.05,TV,True,0.42,Poor Sleep,Urban
,Female,3.97,Smartphone,True,0.36,Eye Strain,Rural
10.0,Male,9.2,Smartphone,True,0.48,Eye Strain,Urban
8.0,Male,3.93,Smartphone,True,0.43,None,Urban
8.0,Female,0.0,Smartphone,False,0.55,,
12.0,,3.15,Tablet,True,,"Poor Sleep, Anxiety",Urban
13.0,,2.42,Laptop,False,0.4,None,Urban
10.0,,0.66,Smartphone,False,0.54,None,
16.0,Female,1.92,Smartphone,False,0.38,None,Urban
12.0,Male,4.46,Laptop,,0.3,Poor Sleep,Urban
15.0,,5.57,Smartphone,True,0.44,Eye Strain,Rural
8.0,Male,6.76,,,0.48,,Urban
12.0,Male,5.69,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10.0,Male,4.51,Tablet,True,0.44,None,Urban
8.0,Female,2.9,Smartphone,True,0.56,None,
11.0,Male,3.35,Smartphone,True,0.44,,Rural
12.0,Male,,TV,True,0.45,"Poor Sleep, Eye Strain, Anxiety",Urban
14.0,Male,5.09,TV,True,0.43,Poor Sleep,
8.0,Female,,,True,0.46,"Poor Sleep, Obesity Risk",Rural
10.0,Male,4.1,Tablet,True,0.45,,Urban
9.0,Male,6.83,Smartphone,True,0.56,"Poor Sleep, Eye Strain",Rural
16.0,Male,4.1,TV,True,0.49,None,Rural
17.0,Female,2.9,,False,0.35,,Urban
13.0,,4.78,Smartphone,True,0.46,,Urban
17.0,Female,5.69,Smartphone,,,None,Urban
10.0,Male,6.33,Tablet,True,0.5,Poor Sleep,Urban
,Male,3.14,TV,True,0.37,Anxiety,Urban
15.0,Male,5.56,Laptop,True,0.31,"Poor Sleep, Obesity Risk",Urban
9.0,Male,3.11,Smartphone,True,0.47,Anxiety,Urban
13.0,Male,4.9,TV,,0.38,"Poor Sleep, Obesity Risk",Urban
14.0,Male,6.39,Tablet,,0.4,"Poor Sleep, Anxiety",Urban
9.0,Male,1.38,Smartphone,False,0.52,None,Urban
18.0,Male,7.75,Tablet,True,0.34,None,Urban
17.0,Female,5.12,,True,0.3,Poor Sleep,Urban
9.0,Female,2.31,Smartphone,True,0.59,None,Urban
17.0,Female,5.34,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Urban
8.0,Male,7.91,Smartphone,True,0.58,Poor Sleep,Urban
15.0,Female,4.46,Tablet,True,0.32,,Rural
8.0,Male,2.02,Smartphone,True,0.57,None,Urban
16.0,Male,4.92,Smartphone,True,,Poor Sleep,Rural
18.0,Male,4.64,Smartphone,True,0.46,Poor Sleep,Urban
13.0,Male,3.55,TV,True,0.34,"Poor Sleep, Eye Strain",Rural
14.0,Female,5.04,Smartphone,True,0.38,Poor Sleep,Urban
17.0,Male,2.91,Tablet,False,0.34,None,Rural
14.0,,4.64,Smartphone,True,0.44,"Poor Sleep, Anxiety",Rural
17.0,Female,4.68,Tablet,True,,"Poor Sleep, Eye Strain",Urban
10.0,Female,6.09,TV,True,,"Eye Strain, Anxiety, Obesity Risk",Rural
9.0,Female,4.12,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural
16.0,Female,5.29,,True,0.5,Anxiety,Rural
15.0,,4.03,Smartphone,,0.38,Poor Sleep,Rural
17.0,Male,5.44,Laptop,True,0.36,"Eye Strain, Anxiety",Urban
14.0,Male,,,True,0.41,None,Urban
16.0,Female,3.95,Laptop,True,0.41,,Urban
11.0,,,Smartphone,True,0.36,Poor Sleep,Urban
11.0,Female,4.39,Smartphone,True,0.37,Poor Sleep,Urban
8.0,Female,1.87,Smartphone,False,0.59,None,Urban
,Male,3.07,Smartphone,,0.46,None,Urban
10.0,Male,0.96,TV,False,0.54,None,Urban
14.0,,3.82,Smartphone,True,0.31,Poor Sleep,Urban
9.0,Female,0.26,TV,False,0.55,None,Rural
9.0,Male,3.21,Smartphone,True,,"Poor Sleep, Eye Strain, Obesity Risk",Urban
14.0,,5.15,Tablet,True,,"Poor Sleep, Eye Strain, Anxiety",Urban
13.0,Male,4.86,Smartphone,True,0.48,"Eye Strain, Obesity Risk",Urban
10.0,Male,5.88,TV,True,0.41,Anxiety,Urban
,,4.29,Tablet,True,0.46,Poor Sleep,Urban
17.0,Male,6.13,TV,True,0.39,Eye Strain,Urban
13.0,Female,4.53,Laptop,True,,None,
17.0,Female,6.49,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Rural
17.0,Male,,Laptop,True,0.33,Poor Sleep,Urban
13.0,Male,4.04,Tablet,True,0.35,None,Urban
8.0,Male,4.31,TV,True,0.46,Eye Strain,Urban
11.0,Male,,TV,True,,"Poor Sleep, Eye Strain",Rural
17.0,Male,,Smartphone,True,0.46,"Poor Sleep, Obesity Risk",Urban
13.0,Female,4.08,Smartphone,True,0.39,Obesity Risk,Urban
13.0,Female,5.54,TV,True,,Poor Sleep,Rural
,Female,6.81,Laptop,True,0.4,None,Urban
12.0,Female,4.05,Smartphone,True,0.42,Poor Sleep,Urban
8.0,Female,7.57,Smartphone,True,,Poor Sleep,Urban
15.0,Female,4.55,,True,0.43,"Poor Sleep, Eye Strain",Rural
12.0,Male,3.13,Smartphone,True,,"Poor Sleep, Eye Strain",Urban
12.0,Female,4.26,TV,True,0.49,"Poor Sleep, Eye Strain",Rural
14.0,Male,4.28,TV,True,0.47,Poor Sleep,Urban
11.0,Female,5.24,Smartphone,True,0.32,Poor Sleep,Urban
13.0,Male,3.75,Tablet,True,0.36,,Urban
11.0,Male,4.54,Laptop,True,0.37,Eye Strain,Rural
10.0,Male,2.79,Smartphone,,0.59,None,Urban
14.0,Male,5.67,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Rural
15.0,Female,3.91,Laptop,True,,Poor Sleep,Rural
11.0,,4.55,Laptop,True,0.49,Poor Sleep,Rural
9.0,Male,11.18,Tablet,True,0.52,Eye Strain,Rural
17.0,Female,7.29,,True,0.49,Poor Sleep,Rural
10.0,Male,2.76,Tablet,True,,None,Urban
8.0,Female,0.96,Smartphone,,,None,
15.0,Female,4.91,Smartphone,True,0.35,None,Rural
,Male,,Tablet,True,0.58,Poor Sleep,Urban
17.0,Female,4.71,Smartphone,True,0.39,Eye Strain,Urban
14.0,Male,,TV,True,0.35,"Poor Sleep, Anxiety",Urban
17.0,Female,5.22,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban
12.0,Female,3.67,Smartphone,True,0.33,"Poor Sleep, Anxiety",Rural
,Female,,Tablet,True,0.41,"Eye Strain, Anxiety",Urban
12.0,Female,3.6,Laptop,True,0.48,"Poor Sleep, Eye Strain",Rural
14.0,,4.36,,True,0.46,,Urban
16.0,Male,4.51,Smartphone,True,0.46,Anxiety,Rural
,Male,5.6,Laptop,True,0.47,Obesity Risk,Urban
8.0,Male,,Smartphone,True,0.53,"Poor Sleep, Eye Strain",Urban
17.0,Female,5.7,Smartphone,True,0.38,None,Rural
17.0,Female,6.58,Smartphone,True,0.49,None,Rural
8.0,Female,7.78,TV,True,0.5,Poor Sleep,Rural
9.0,Male,5.32,,True,0.42,Eye Strain,Urban
13.0,Male,5.04,Tablet,True,0.33,None,Rural
16.0,Female,,Tablet,True,0.4,Poor Sleep,Rural
15.0,Female,5.02,TV,True,0.35,,Urban
12.0,Female,4.52,,True,0.37,Poor Sleep,
8.0,Male,,TV,True,0.41,None,Urban
14.0,Female,4.91,Smartphone,True,0.4,Obesity Risk,
12.0,Male,4.97,Laptop,,0.32,"Poor Sleep, Anxiety",Rural
